Walcott	67.5	100.0	79.0	100.0	82.5	83.5	9.0	92.5	83.5
Mustafi	77.0	83.5	69.5	97.0	98.5	71.0	8.0	91.0	79.5
Pablo	83.5	70.5	96.0	98.5	100.0	63.0	8.0	87.5	81.5
Harry	79.0	60.0	100.0	84.0	92.0	64.5	7.0	91.0	86.0
Fernando	69.5	99.0	83.5	1.5	72.5	69.0	9.0	10.0	52.5
Kerber	96.0	96.0	98.5	99.5	83.5	100.0	6.0	83.5	91.0
Nathan	100.0	100.0	100.0	100.0	79.5	82.0	5.0	97.5	97.0
Daniel	83.5	77.0	92.0	77.0	99.0	92.0	9.0	100.0	84.0
Boruc	71.0	66.0	72.5	66.0	94.5	85.5	8.0	77.0	97.0
Gareth	60.0	77.0	66.0	77.0	69.5	69.0	9.0	66.0	87.5
Leo	98.5	93.5	95.0	100.0	97.0	100.0	7.0	98.0	100.0
Sergio	69.0	79.0	97.5	79.0	92.0	77.0	9.0	91.0	91.0
Sparrow	98.5	0.0	94.5	69.5	84.5	66.0	5.0	3.5	1.5
Bradley	83.5	96.0	92.0	83.5	88.0	77.0	7.0	91.0	91.0
Angelina	92.0	100.0	83.5	92.0	87.5	83.5	6.0	87.5	82.0
Opera	84.5	83.5	20.5	84.5	0.0	82.0	9.0	21.0	5.5
Liam	88.0	98.5	74.0	88.0	96.0	72.5	8.0	82.0	69.0
Williams	87.5	97.0	87.5	87.5	88.0	69.0	7.0	90.5	100.0
Ilicic	100.0	92.0	89.0	100.0	91.0	95.5	8.0	97.0	98.5
Rafael	97.0	86.0	27.0	10.0	34.5	75.0	6.0	40.5	34.0
